page,section,qnumb,question,isbn
83,3.B,8,"Suppose $V$ and $W$ are finite-dimensional with $\operatorname{dim} V \geq \operatorname{dim} W \geq 2$. Show that $\{T \in \mathcal{L}(V, W): T$ is not surjective $\}$ is not a subspace of $\mathcal{L}(V, W)$.",978-3-319-11079-0
83,3.B,9,"Suppose $T \in \mathcal{L}(V, W)$ is injective and $v_{1}, \ldots, v_{n}$ is linearly independent in $V$. Prove that $T v_{1}, \ldots, T v_{n}$ is linearly independent in $W$.",978-3-319-11079-0
83,3.B,68,CHAPTER $3$ Linear Maps,978-3-319-11079-0
83,3.B,10,"Suppose $v_{1}, \ldots, v_{n}$ spans $V$ and $T \in \mathcal{L}(V, W)$. Prove that the list $T v_{1}, \ldots, T v_{n}$ spans range $T$.",978-3-319-11079-0
83,3.B,11,"Suppose $S_{1}, \ldots, S_{n}$ are injective linear maps such that $S_{1} S_{2} \cdots S_{n}$ makes sense. Prove that $S_{1} S_{2} \cdots S_{n}$ is injective.",978-3-319-11079-0
83,3.B,12,"Suppose that $V$ is finite-dimensional and that $T \in \mathcal{L}(V, W)$. Prove that there exists a subspace $U$ of $V$ such that $U \cap$ null $T=\{0\}$ and range $T=\{T u: u \in U\}$.",978-3-319-11079-0
83,3.B,13,"Suppose $T$ is a linear map from $\mathbf{F}^{4}$ to $\mathbf{F}^{2}$ such that \[ \text { null } T=\left\{\left(x_{1}, x_{2}, x_{3}, x_{4}\right) \in \mathbf{F}^{4}: x_{1}=5 x_{2} \text { and } x_{3}=7 x_{4}\right\} \]  Prove that $T$ is surjective.",978-3-319-11079-0
83,3.B,14,Suppose $U$ is a 3-dimensional subspace of $\mathbf{R}^{8}$ and that $T$ is a linear map from $\mathbf{R}^{8}$ to $\mathbf{R}^{5}$ such that null $T=U$. Prove that $T$ is surjective.,978-3-319-11079-0
83,3.B,15,"Prove that there does not exist a linear map from $\mathbf{F}^{5}$ to $\mathbf{F}^{2}$ whose null space equals \[ \left\{\left(x_{1}, x_{2}, x_{3}, x_{4}, x_{5}\right) \in \mathbf{F}^{5}: x_{1}=3 x_{2} \text { and } x_{3}=x_{4}=x_{5}\right\} \]",978-3-319-11079-0
83,3.B,16,Suppose there exists a linear map on $V$ whose null space and range are both finite-dimensional. Prove that $V$ is finite-dimensional.,978-3-319-11079-0
83,3.B,17,Suppose $V$ and $W$ are both finite-dimensional. Prove that there exists an injective linear map from $V$ to $W$ if and only if $\operatorname{dim} V \leq \operatorname{dim} W$.,978-3-319-11079-0
83,3.B,18,Suppose $V$ and $W$ are both finite-dimensional. Prove that there exists a surjective linear map from $V$ onto $W$ if and only if $\operatorname{dim} V \geq \operatorname{dim} W$.,978-3-319-11079-0
83,3.B,19,"Suppose $V$ and $W$ are finite-dimensional and that $U$ is a subspace of $V$. Prove that there exists $T \in \mathcal{L}(V, W)$ such that null $T=U$ if and only if $\operatorname{dim} U \geq \operatorname{dim} V-\operatorname{dim} W$.",978-3-319-11079-0
83,3.B,20,"Suppose $W$ is finite-dimensional and $T \in \mathcal{L}(V, W)$. Prove that $T$ is injective if and only if there exists $S \in \mathcal{L}(W, V)$ such that $S T$ is the identity map on $V$.",978-3-319-11079-0
83,3.B,21,"Suppose $V$ is finite-dimensional and $T \in \mathcal{L}(V, W)$. Prove that $T$ is surjective if and only if there exists $S \in \mathcal{L}(W, V)$ such that $T S$ is the identity map on $W$. SECTION 3.B Null Spaces and Ranges",978-3-319-11079-0
83,3.B,69,,978-3-319-11079-0
83,3.B,22,"Suppose $U$ and $V$ are finite-dimensional vector spaces and $S \in \mathcal{L}(V, W)$ and $T \in \mathcal{L}(U, V)$. Prove that \[ \operatorname{dim} \text { null } S T \leq \operatorname{dim} \text { null } S+\operatorname{dim} \text { null } T \text {. } \]",978-3-319-11079-0
83,3.B,23,"Suppose $U$ and $V$ are finite-dimensional vector spaces and $S \in \mathcal{L}(V, W)$ and $T \in \mathcal{L}(U, V)$. Prove that \[ \text { dim range } S T \leq \min \{\text { dim range } S \text {, dim range } T\} \text {. } \]",978-3-319-11079-0
83,3.B,24,"Suppose $W$ is finite-dimensional and $T_{1}, T_{2} \in \mathcal{L}(V, W)$. Prove that null $T_{1} \subset$ null $T_{2}$ if and only if there exists $S \in \mathcal{L}(W, W)$ such that $T_{2}=S T_{1}$.",978-3-319-11079-0
83,3.B,25,"Suppose $V$ is finite-dimensional and $T_{1}, T_{2} \in \mathcal{L}(V, W)$. Prove that range $T_{1} \subset$ range $T_{2}$ if and only if there exists $S \in \mathcal{L}(V, V)$ such that $T_{1}=T_{2} S$.",978-3-319-11079-0
83,3.B,26,"Suppose $D \in \mathcal{L}(\mathcal{P}(\mathbf{R}), \mathcal{P}(\mathbf{R}))$ is such that $\operatorname{deg} D p=(\operatorname{deg} p)-1$ for every nonconstant polynomial $p \in \mathcal{P}(\mathbf{R})$. Prove that $D$ is surjective. [The notation $D$ is used above to remind you of the differentiation map that sends a polynomial $p$ to $p^{\prime}$. Without knowing the formula for the derivative of a polynomial (except that it reduces the degree by 1), you can use the exercise above to show that for every polynomial $q \in \mathcal{P}(\mathbf{R})$, there exists a polynomial $p \in \mathcal{P}(\mathbf{R})$ such that $p^{\prime}=q$.]",978-3-319-11079-0
83,3.B,27,"Suppose $p \in \mathcal{P}(\mathbf{R})$. Prove that there exists a polynomial $q \in \mathcal{P}(\mathbf{R})$ such that $5 q^{\prime \prime}+3 q^{\prime}=p$. [This exercise can be done without linear algebra, but it's more fun to do it using linear algebra.]",978-3-319-11079-0
83,3.B,28,"Suppose $T \in \mathcal{L}(V, W)$, and $w_{1}, \ldots, w_{m}$ is a basis of range $T$. Prove that there exist $\varphi_{1}, \ldots, \varphi_{m} \in \mathcal{L}(V, \mathbf{F})$ such that \[ T v=\varphi_{1}(v) w_{1}+\cdots+\varphi_{m}(v) w_{m} \] for every $v \in V$.",978-3-319-11079-0
83,3.B,29,"Suppose $\varphi \in \mathcal{L}(V, \mathbf{F})$. Suppose $u \in V$ is not in null $\varphi$. Prove that \[ V=\operatorname{null} \varphi \oplus\{a u: a \in \mathbf{F}\} . \]",978-3-319-11079-0
83,3.B,30,Suppose $\varphi_{1}$ and $\varphi_{2}$ are linear maps from $V$ to $\mathbf{F}$ that have the same null space. Show that there exists a constant $c \in \mathbf{F}$ such that $\varphi_{1}=c \varphi_{2}$.,978-3-319-11079-0
83,3.B,31,Give an example of two linear maps $T_{1}$ and $T_{2}$ from $\mathbf{R}^{5}$ to $\mathbf{R}^{2}$ that have the same null space but are such that $T_{1}$ is not a scalar multiple of $T_{2}$.,978-3-319-11079-0
94,3.C,1,"Suppose $V$ and $W$ are finite-dimensional and $T \in \mathcal{L}(V, W)$. Show that with respect to each choice of bases of $V$ and $W$, the matrix of $T$ has at least dim range $T$ nonzero entries.",978-3-319-11079-0
94,3.C,2,"Suppose $D \in \mathcal{L}\left(\mathcal{P}_{3}(\mathbf{R}), \mathcal{P}_{2}(\mathbf{R})\right)$ is the differentiation map defined by $D p=p^{\prime}$. Find a basis of $\mathcal{P}_{3}(\mathbf{R})$ and a basis of $\mathcal{P}_{2}(\mathbf{R})$ such that the matrix of $D$ with respect to these bases is \[ \left(\begin{array}{llll} 1 & 0 & 0 & 0 \\ 0 & 1 & 0 & 0 \\ 0 & 0 & 1 & 0 \end{array}\right) . \] [Compare the exercise above to Example 3.34. The next exercise generalizes the exercise above.]",978-3-319-11079-0
94,3.C,3,"Suppose $V$ and $W$ are finite-dimensional and $T \in \mathcal{L}(V, W)$. Prove that there exist a basis of $V$ and a basis of $W$ such that with respect to these bases, all entries of $\mathcal{M}(T)$ are $0$ except that the entries in row $j$, column $j$, equal $1$ for $1 \leq j \leq \operatorname{dim} \operatorname{range} T$.",978-3-319-11079-0
94,3.C,4,"Suppose $v_{1}, \ldots, v_{m}$ is a basis of $V$ and $W$ is finite-dimensional. Suppose $T \in \mathcal{L}(V, W)$. Prove that there exists a basis $w_{1}, \ldots, w_{n}$ of $W$ such that all the entries in the first column of $\mathcal{M}(T)$ (with respect to the bases $v_{1}, \ldots, v_{m}$ and $\left.w_{1}, \ldots, w_{n}\right)$ are $0$ except for possibly a $1$ in the first row, first column. [In this exercise, unlike Exercise 3, you are given the basis of $V$ instead of being able to choose a basis of $V$.]",978-3-319-11079-0
94,3.C,5,"Suppose $w_{1}, \ldots, w_{n}$ is a basis of $W$ and $V$ is finite-dimensional. Suppose $T \in \mathcal{L}(V, W)$. Prove that there exists a basis $v_{1}, \ldots, v_{m}$ of $V$ such that all the entries in the first row of $\mathcal{M}(T)$ (with respect to the bases $v_{1}, \ldots, v_{m}$ and $\left.w_{1}, \ldots, w_{n}\right)$ are $0$ except for possibly a $1$ in the first row, first column. [In this exercise, unlike Exercise 3, you are given the basis of $W$ instead of being able to choose a basis of $W$.] SECTION 3.C Matrices",978-3-319-11079-0
94,3.C,79,,978-3-319-11079-0
94,3.C,6,"Suppose $V$ and $W$ are finite-dimensional and $T \in \mathcal{L}(V, W)$. Prove that dim range $T=1$ if and only if there exist a basis of $V$ and a basis of $W$ such that with respect to these bases, all entries of $\mathcal{M}(T)$ equal $1$.",978-3-319-11079-0
94,3.C,7,Verify $3.36$.,978-3-319-11079-0
94,3.C,8,Verify $3.38$.,978-3-319-11079-0
94,3.C,9,Prove 3.52.,978-3-319-11079-0
94,3.C,10,"Suppose $A$ is an $m$-by- $n$ matrix and $C$ is an $n$-by- $p$ matrix. Prove that \[ (A C)_{j, \cdot}=A_{j, \cdot} C \] for $1 \leq j \leq m$. In other words, show that row $j$ of $A C$ equals (row $j$ of $A$ ) times $C$.",978-3-319-11079-0
94,3.C,11,"Suppose $a=\left(\begin{array}{lll}a_{1} & \cdots & a_{n}\end{array}\right)$ is a 1-by- $n$ matrix and $C$ is an $n$-by- $p$ matrix. Prove that \[ a C=a_{1} C_{1, \cdot}+\cdots+a_{n} C_{n, \cdots} \]  In other words, show that $a C$ is a linear combination of the rows of $C$, with the scalars that multiply the rows coming from $a$.",978-3-319-11079-0
94,3.C,12,"Give an example with 2-by-2 matrices to show that matrix multiplication is not commutative. In other words, find 2-by-2 matrices $A$ and $C$ such that $A C \neq C A$.",978-3-319-11079-0
94,3.C,13,"Prove that the distributive property holds for matrix addition and matrix multiplication. In other words, suppose $A, B, C, D, E$, and $F$ are matrices whose sizes are such that $A(B+C)$ and $(D+E) F$ make sense. Prove that $A B+A C$ and $D F+E F$ both make sense and that $A(B+C)=A B+A C$ and $(D+E) F=D F+E F$.",978-3-319-11079-0
94,3.C,14,"Prove that matrix multiplication is associative. In other words, suppose $A, B$, and $C$ are matrices whose sizes are such that $(A B) C$ makes sense. Prove that $A(B C)$ makes sense and that $(A B) C=A(B C)$.",978-3-319-11079-0
94,3.C,15,"Suppose $A$ is an $n$-by- $n$ matrix and $1 \leq j, k \leq n$. Show that the entry in row $j$, column $k$, of $A^{3}$ (which is defined to mean $A A A$ ) is \[ \sum_{p=1}^{n} \sum_{r=1}^{n} A_{j, p} A_{p, r} A_{r, k} . \]",978-3-319-11079-0
104,3.D,1,"Suppose $T \in \mathcal{L}(U, V)$ and $S \in \mathcal{L}(V, W)$ are both invertible linear maps. Prove that $S T \in \mathcal{L}(U, W)$ is invertible and that $(S T)^{-1}=T^{-1} S^{-1}$.",978-3-319-11079-0
104,3.D,2,Suppose $V$ is finite-dimensional and $\operatorname{dim} V>1$. Prove that the set of noninvertible operators on $V$ is not a subspace of $\mathcal{L}(V)$.,978-3-319-11079-0
104,3.D,3,"Suppose $V$ is finite-dimensional, $U$ is a subspace of $V$, and $S \in \mathcal{L}(U, V)$. Prove there exists an invertible operator $T \in \mathcal{L}(V)$ such that $T u=S u$ for every $u \in U$ if and only if $S$ is injective.",978-3-319-11079-0
104,3.D,4,"Suppose $W$ is finite-dimensional and $T_{1}, T_{2} \in \mathcal{L}(V, W)$. Prove that null $T_{1}=$ null $T_{2}$ if and only if there exists an invertible operator $S \in \mathcal{L}(W)$ such that $T_{1}=S T_{2}$.",978-3-319-11079-0
104,3.D,5,"Suppose $V$ is finite-dimensional and $T_{1}, T_{2} \in \mathcal{L}(V, W)$. Prove that range $T_{1}=$ range $T_{2}$ if and only if there exists an invertible operator $S \in \mathcal{L}(V)$ such that $T_{1}=T_{2} S$.",978-3-319-11079-0
104,3.D,6,"Suppose $V$ and $W$ are finite-dimensional and $T_{1}, T_{2} \in \mathcal{L}(V, W)$. Prove that there exist invertible operators $R \in \mathcal{L}(V)$ and $S \in \mathcal{L}(W)$ such that $T_{1}=S T_{2} R$ if and only if $\operatorname{dim}$ null $T_{1}=\operatorname{dim}$ null $T_{2}$.",978-3-319-11079-0
104,3.D,7,"Suppose $V$ and $W$ are finite-dimensional. Let $v \in V$. Let \[ E=\{T \in \mathcal{L}(V, W): T v=0\} . \] (a) Show that $E$ is a subspace of $\mathcal{L}(V, W)$. (b) Suppose $v \neq 0$. What is $\operatorname{dim} E$ ? SECTION 3.D Invertibility and Isomorphic Vector Spaces",978-3-319-11079-0
104,3.D,89,,978-3-319-11079-0
104,3.D,8,"Suppose $V$ is finite-dimensional and $T: V \rightarrow W$ is a surjective linear map of $V$ onto $W$. Prove that there is a subspace $U$ of $V$ such that $\left.T\right|_{U}$ is an isomorphism of $U$ onto $W$. (Here $\left.T\right|_{U}$ means the function $T$ restricted to $U$. In other words, $\left.T\right|_{U}$ is the function whose domain is $U$, with $\left.T\right|_{U}$ defined by $\left.T\right|_{U}(u)=T u$ for every $u \in U$.)",978-3-319-11079-0
104,3.D,9,"Suppose $V$ is finite-dimensional and $S, T \in \mathcal{L}(V)$. Prove that $S T$ is invertible if and only if both $S$ and $T$ are invertible.",978-3-319-11079-0
104,3.D,10,"Suppose $V$ is finite-dimensional and $S, T \in \mathcal{L}(V)$. Prove that $S T=I$ if and only if $T S=I$.",978-3-319-11079-0
104,3.D,11,"Suppose $V$ is finite-dimensional and $S, T, U \in \mathcal{L}(V)$ and $S T U=I$. Show that $T$ is invertible and that $T^{-1}=U S$.",978-3-319-11079-0
104,3.D,12,Show that the result in the previous exercise can fail without the hypothesis that $V$ is finite-dimensional.,978-3-319-11079-0
104,3.D,13,"Suppose $V$ is a finite-dimensional vector space and $R, S, T \in \mathcal{L}(V)$ are such that $R S T$ is surjective. Prove that $S$ is injective.",978-3-319-11079-0
104,3.D,14,"Suppose $v_{1}, \ldots, v_{n}$ is a basis of $V$. Prove that the map $T: V \rightarrow \mathbf{F}^{n, 1}$ defined by \[ T v=\mathcal{M}(v) \] is an isomorphism of $V$ onto $\mathbf{F}^{n, 1}$; here $\mathcal{M}(v)$ is the matrix of $v \in V$ with respect to the basis $v_{1}, \ldots, v_{n}$.",978-3-319-11079-0
104,3.D,15,"Prove that every linear map from $\mathbf{F}^{n, 1}$ to $\mathbf{F}^{m, 1}$ is given by a matrix multiplication. In other words, prove that if $T \in \mathcal{L}\left(\mathbf{F}^{n, 1}, \mathbf{F}^{m, 1}\right)$, then there exists an $m$-by- $n$ matrix $A$ such that $T x=A x$ for every $x \in \mathbf{F}^{n, 1}$.",978-3-319-11079-0
104,3.D,16,Suppose $V$ is finite-dimensional and $T \in \mathcal{L}(V)$. Prove that $T$ is a scalar multiple of the identity if and only if $S T=T S$ for every $S \in \mathcal{L}(V)$.,978-3-319-11079-0
104,3.D,17,Suppose $V$ is finite-dimensional and $\mathcal{E}$ is a subspace of $\mathcal{L}(V)$ such that $S T \in \mathcal{E}$ and $T S \in \mathcal{E}$ for all $S \in \mathcal{L}(V)$ and all $T \in \mathcal{E}$. Prove that $\mathcal{E}=\{0\}$ or $\mathcal{E}=\mathcal{L}(V)$.,978-3-319-11079-0
104,3.D,18,"Show that $V$ and $\mathcal{L}(\mathbf{F}, V)$ are isomorphic vector spaces.",978-3-319-11079-0
104,3.D,19,Suppose $T \in \mathcal{L}(\mathcal{P}(\mathbf{R}))$ is such that $T$ is injective and $\operatorname{deg} T p \leq \operatorname{deg} p$ for every nonzero polynomial $p \in \mathcal{P}(\mathbf{R})$. (a) Prove that $T$ is surjective. (b) Prove that $\operatorname{deg} T p=\operatorname{deg} p$ for every nonzero $p \in \mathcal{P}(\mathbf{R})$.,978-3-319-11079-0
104,3.D,90,CHAPTER $3$ Linear Maps,978-3-319-11079-0
104,3.D,20,"Suppose $n$ is a positive integer and $A_{i, j} \in \mathbf{F}$ for $i, j=1, \ldots, n$. Prove that the following are equivalent (note that in both parts below, the number of equations equals the number of variables): (a) The trivial solution $x_{1}=\cdots=x_{n}=0$ is the only solution to the homogeneous system of equations \[ \begin{array}{c} \sum_{k=1}^{n} A_{1, k} x_{k}=0 \\ \vdots \\ \sum_{k=1}^{n} A_{n, k} x_{k}=0 . \end{array} \] (b) For every $c_{1}, \ldots, c_{n} \in \mathbf{F}$, there exists a solution to the system of equations \[ \begin{array}{c} \sum_{k=1}^{n} A_{1, k} x_{k}=c_{1} \\ \vdots \\ \sum_{k=1}^{n} A_{n, k} x_{k}=c_{n} . \end{array} \]",978-3-319-11079-0
114,3.E,1,"Suppose $T$ is a function from $V$ to $W$. The graph of $T$ is the subset of $V \times W$ defined by \[ \text { graph of } T=\{(v, T v) \in V \times W: v \in V\} . \]  Prove that $T$ is a linear map if and only if the graph of $T$ is a subspace of $V \times W$. [Formally, a function $T$ from $V$ to $W$ is a subset $T$ of $V \times W$ such that for each $v \in V$, there exists exactly one element $(v, w) \in T$. In other words, formally a function is what is called above its graph. We do not usually think of functions in this formal manner. However, if we do become formal, then the exercise above could be rephrased as follows: Prove that a function $T$ from $V$ to $W$ is a linear map if and only if $T$ is a subspace of $V \times W$.] SECTION 3.E Products and Quotients of Vector Spaces",978-3-319-11079-0
114,3.E,99,,978-3-319-11079-0
114,3.E,2,"Suppose $V_{1}, \ldots, V_{m}$ are vector spaces such that $V_{1} \times \cdots \times V_{m}$ is finitedimensional. Prove that $V_{j}$ is finite-dimensional for each $j=1, \ldots, m$.",978-3-319-11079-0
114,3.E,3,"Give an example of a vector space $V$ and subspaces $U_{1}, U_{2}$ of $V$ such that $U_{1} \times U_{2}$ is isomorphic to $U_{1}+U_{2}$ but $U_{1}+U_{2}$ is not a direct sum. Hint: The vector space $V$ must be infinite-dimensional.",978-3-319-11079-0
114,3.E,4,"Suppose $V_{1}, \ldots, V_{m}$ are vector spaces. Prove that $\mathcal{L}\left(V_{1} \times \cdots \times V_{m}, W\right)$ and $\mathcal{L}\left(V_{1}, W\right) \times \cdots \times \mathcal{L}\left(V_{m}, W\right)$ are isomorphic vector spaces.",978-3-319-11079-0
114,3.E,5,"Suppose $W_{1}, \ldots, W_{m}$ are vector spaces. Prove that $\mathcal{L}\left(V, W_{1} \times \cdots \times W_{m}\right)$ and $\mathcal{L}\left(V, W_{1}\right) \times \cdots \times \mathcal{L}\left(V, W_{m}\right)$ are isomorphic vector spaces.",978-3-319-11079-0
114,3.E,6,"For $n$ a positive integer, define $V^{n}$ by \[ V^{n}=\underbrace{V \times \cdots \times V}_{n \text { times }} . \]  Prove that $V^{n}$ and $\mathcal{L}\left(\mathbf{F}^{n}, V\right)$ are isomorphic vector spaces.",978-3-319-11079-0
114,3.E,7,"Suppose $v, x$ are vectors in $V$ and $U, W$ are subspaces of $V$ such that $v+U=x+W$. Prove that $U=W$.",978-3-319-11079-0
114,3.E,8,"Prove that a nonempty subset $A$ of $V$ is an affine subset of $V$ if and only if $\lambda v+(1-\lambda) w \in A$ for all $v, w \in A$ and all $\lambda \in \mathbf{F}$.",978-3-319-11079-0
114,3.E,9,Suppose $A_{1}$ and $A_{2}$ are affine subsets of $V$. Prove that the intersection $A_{1} \cap A_{2}$ is either an affine subset of $V$ or the empty set.,978-3-319-11079-0
114,3.E,10,Prove that the intersection of every collection of affine subsets of $V$ is either an affine subset of $V$ or the empty set.,978-3-319-11079-0
114,3.E,11,"Suppose $v_{1}, \ldots, v_{m} \in V$. Let \[ A=\left\{\lambda_{1} v_{1}+\cdots+\lambda_{m} v_{m}: \lambda_{1}, \ldots, \lambda_{m} \in \mathbf{F} \text { and } \lambda_{1}+\cdots+\lambda_{m}=1\right\} . \] (a) Prove that $A$ is an affine subset of $V$. (b) Prove that every affine subset of $V$ that contains $v_{1}, \ldots, v_{m}$ also contains $A$. (c) Prove that $A=v+U$ for some $v \in V$ and some subspace $U$ of $V$ with $\operatorname{dim} U \leq m-1$.",978-3-319-11079-0
114,3.E,12,Suppose $U$ is a subspace of $V$ such that $V / U$ is finite-dimensional. Prove that $V$ is isomorphic to $U \times(V / U)$.,978-3-319-11079-0
114,3.E,100,CHAPTER $3$ Linear Maps,978-3-319-11079-0
114,3.E,13,"Suppose $U$ is a subspace of $V$ and $v_{1}+U, \ldots, v_{m}+U$ is a basis of $V / U$ and $u_{1}, \ldots, u_{n}$ is a basis of $U$. Prove that $v_{1}, \ldots, v_{m}, u_{1}, \ldots, u_{n}$ is a basis of $V$.",978-3-319-11079-0
114,3.E,14,"Suppose $U=\left\{\left(x_{1}, x_{2}, \ldots\right) \in \mathbf{F}^{\infty}: x_{j} \neq 0\right.$ for only finitely many $\left.j\right\}$. (a) Show that $U$ is a subspace of $\mathbf{F}^{\infty}$. (b) Prove that $\mathbf{F}^{\infty} / U$ is infinite-dimensional.",978-3-319-11079-0
114,3.E,15,"Suppose $\varphi \in \mathcal{L}(V, \mathbf{F})$ and $\varphi \neq 0$. Prove that $\operatorname{dim} V /(\operatorname{null} \varphi)=1$.",978-3-319-11079-0
114,3.E,16,"Suppose $U$ is a subspace of $V$ such that $\operatorname{dim} V / U=1$. Prove that there exists $\varphi \in \mathcal{L}(V, \mathbf{F})$ such that null $\varphi=U$.",978-3-319-11079-0
114,3.E,17,Suppose $U$ is a subspace of $V$ such that $V / U$ is finite-dimensional. Prove that there exists a subspace $W$ of $V$ such that $\operatorname{dim} W=\operatorname{dim} V / U$ and $V=U \oplus W$.,978-3-319-11079-0
114,3.E,18,"Suppose $T \in \mathcal{L}(V, W)$ and $U$ is a subspace of $V$. Let $\pi$ denote the quotient map from $V$ onto $V / U$. Prove that there exists $S \in \mathcal{L}(V / U, W)$ such that $T=S \circ \pi$ if and only if $U \subset$ null $T$.",978-3-319-11079-0
114,3.E,19,"Find a correct statement analogous to $3.78$ that is applicable to finite sets, with unions analogous to sums of subspaces and disjoint unions analogous to direct sums.",978-3-319-11079-0
114,3.E,20,"Suppose $U$ is a subspace of $V$. Define $\Gamma: \mathcal{L}(V / U, W) \rightarrow \mathcal{L}(V, W)$ by \[ \Gamma(S)=S \circ \pi . \] (a) Show that $\Gamma$ is a linear map. (b) Show that $\Gamma$ is injective. (c) Show that range $\Gamma=\{T \in \mathcal{L}(V, W): T u=0$ for every $u \in U\}$.",978-3-319-11079-0
129,3.F,1,Explain why every linear functional is either surjective or the zero map.,978-3-319-11079-0
129,3.F,2,"Give three distinct examples of linear functionals on $\mathbf{R}^{[0,1]}$.",978-3-319-11079-0
129,3.F,3,Suppose $V$ is finite-dimensional and $v \in V$ with $v \neq 0$. Prove that there exists $\varphi \in V^{\prime}$ such that $\varphi(v)=1$.,978-3-319-11079-0
129,3.F,4,Suppose $V$ is finite-dimensional and $U$ is a subspace of $V$ such that $U \neq V$. Prove that there exists $\varphi \in V^{\prime}$ such that $\varphi(u)=0$ for every $u \in U$ but $\varphi \neq 0$.,978-3-319-11079-0
129,3.F,5,"Suppose $V_{1}, \ldots, V_{m}$ are vector spaces. Prove that $\left(V_{1} \times \cdots \times V_{m}\right)^{\prime}$ and $V_{1}^{\prime} \times \cdots \times V_{m}{ }^{\prime}$ are isomorphic vector spaces.",978-3-319-11079-0
129,3.F,6,"Suppose $V$ is finite-dimensional and $v_{1}, \ldots, v_{m} \in V$. Define a linear $\operatorname{map} \Gamma: V^{\prime} \rightarrow \mathbf{F}^{m}$ by \[ \Gamma(\varphi)=\left(\varphi\left(v_{1}\right), \ldots, \varphi\left(v_{m}\right)\right) . \] (a) Prove that $v_{1}, \ldots, v_{m}$ spans $V$ if and only if $\Gamma$ is injective. (b) Prove that $v_{1}, \ldots, v_{m}$ is linearly independent if and only if $\Gamma$ is surjective. $7 \quad$ Suppose $m$ is a positive integer. Show that the dual basis of the basis $1, x, \ldots, x^{m}$ of $\mathcal{P}_{m}(\mathbf{R})$ is $\varphi_{0}, \varphi_{1}, \ldots, \varphi_{m}$, where $\varphi_{j}(p)=\frac{p^{(j)}(0)}{j !}$. Here $p^{(j)}$ denotes the $j^{\text {th }}$ derivative of $p$, with the understanding that the $0^{\text {th }}$ derivative of $p$ is $p$.",978-3-319-11079-0
129,3.F,8,"Suppose $m$ is a positive integer. (a) Show that $1, x-5, \ldots,(x-5)^{m}$ is a basis of $\mathcal{P}_{m}(\mathbf{R})$. (b) What is the dual basis of the basis in part (a)?",978-3-319-11079-0
129,3.F,9,"Suppose $v_{1}, \ldots, v_{n}$ is a basis of $V$ and $\varphi_{1}, \ldots, \varphi_{n}$ is the corresponding dual basis of $V^{\prime}$. Suppose $\psi \in V^{\prime}$. Prove that \[ \psi=\psi\left(v_{1}\right) \varphi_{1}+\cdots+\psi\left(v_{n}\right) \varphi_{n} . \]",978-3-319-11079-0
129,3.F,10,Prove the first two bullet points in 3.101.,978-3-319-11079-0
129,3.F,114,CHAPTER $3$ Linear Maps,978-3-319-11079-0
129,3.F,11,"Suppose $A$ is an $m$-by- $n$ matrix with $A \neq 0$. Prove that the rank of $A$ is $1$ if and only if there exist $\left(c_{1}, \ldots, c_{m}\right) \in \mathbf{F}^{m}$ and $\left(d_{1}, \ldots, d_{n}\right) \in \mathbf{F}^{n}$ such that $A_{j, k}=c_{j} d_{k}$ for every $j=1, \ldots, m$ and every $k=1, \ldots, n$.",978-3-319-11079-0
129,3.F,12,Show that the dual map of the identity map on $V$ is the identity map on $V^{\prime}$.,978-3-319-11079-0
129,3.F,13,"Define $T: \mathbf{R}^{3} \rightarrow \mathbf{R}^{2}$ by $T(x, y, z)=(4 x+5 y+6 z, 7 x+8 y+9 z)$. Suppose $\varphi_{1}, \varphi_{2}$ denotes the dual basis of the standard basis of $\mathbf{R}^{2}$ and $\psi_{1}, \psi_{2}, \psi_{3}$ denotes the dual basis of the standard basis of $\mathbf{R}^{3}$. (a) Describe the linear functionals $T^{\prime}\left(\varphi_{1}\right)$ and $T^{\prime}\left(\varphi_{2}\right)$. (b) Write $T^{\prime}\left(\varphi_{1}\right)$ and $T^{\prime}\left(\varphi_{2}\right)$ as linear combinations of $\psi_{1}, \psi_{2}, \psi_{3}$.",978-3-319-11079-0
129,3.F,14,Define $T: \mathcal{P}(\mathbf{R}) \rightarrow \mathcal{P}(\mathbf{R})$ by $(T p)(x)=x^{2} p(x)+p^{\prime \prime}(x)$ for $x \in \mathbf{R}$. (a) Suppose $\varphi \in \mathcal{P}(\mathbf{R})^{\prime}$ is defined by $\varphi(p)=p^{\prime}(4)$. Describe the linear functional $T^{\prime}(\varphi)$ on $\mathcal{P}(\mathbf{R})$. (b) Suppose $\varphi \in \mathcal{P}(\mathbf{R})^{\prime}$ is defined by $\varphi(p)=\int_{0}^{1} p(x) d x$. Evaluate $\left(T^{\prime}(\varphi)\right)\left(x^{3}\right)$.,978-3-319-11079-0
129,3.F,15,"Suppose $W$ is finite-dimensional and $T \in \mathcal{L}(V, W)$. Prove that $T^{\prime}=0$ if and only if $T=0$.",978-3-319-11079-0
129,3.F,16,"Suppose $V$ and $W$ are finite-dimensional. Prove that the map that takes $T \in \mathcal{L}(V, W)$ to $T^{\prime} \in \mathcal{L}\left(W^{\prime}, V^{\prime}\right)$ is an isomorphism of $\mathcal{L}(V, W)$ onto $\mathcal{L}\left(W^{\prime}, V^{\prime}\right)$.",978-3-319-11079-0
